24/07/76,DON'T GO BREAKING MY HEART,6
04/09/76,DANCING QUEEN,6
16/10/76,MISSISSIPPI,4
13/11/76,IF YOU LEAVE ME NOW,3
04/12/76,UNDER THE MOON OF LOVE,3
25/12/76,WHEN A CHILD IS BORN (SOLEADO),3
15/01/77,DON'T GIVE UP ON US,4
12/02/77,DON'T CRY FOR ME ARGENTINA,1
19/02/77,WHEN I NEED YOU,3
12/03/77,CHANSON D'AMOUR,3
02/04/77,KNOWING ME KNOWING YOU,5
07/05/77,FREE,2
21/05/77,I DON'T WANT TO TALK ABOUT IT/FIRST CUT IS THE DEEPEST,4
18/06/77,LUCILLE,1
25/06/77,SHOW YOU THE WAY TO GO,1
02/07/77,SO YOU WIN AGAIN,3
23/07/77,I FEEL LOVE,4
20/08/77,ANGELO,1
27/08/77,FLOAT ON,1
03/09/77,WAY DOWN,5
08/10/77,SILVER LADY,3
29/10/77,YES SIR I CAN BOOGIE,1
05/11/77,THE NAME OF THE GAME,4
03/12/77,MULL OF KINTYRE/GIRLS' SCHOOL,9
04/02/78,UP TOWN TOP RANKING,1
11/02/78,FIGARO,1
18/02/78,TAKE A CHANCE ON ME,3
11/03/78,WUTHERING HEIGHTS,4
08/04/78,MATCHSTALK MEN AND MATCHSTALK CATS AND DOGS,3
29/04/78,NIGHT FEVER,2
13/05/78,RIVERS OF BABYLON/BROWN GIRL IN THE RING,5
17/06/78,YOU'RE THE ONE THAT I WANT,9
19/08/78,THREE TIMES A LADY,5
23/09/78,DREADLOCK HOLIDAY,1
30/09/78,SUMMER NIGHTS,7
18/11/78,RAT TRAP,2
02/12/78,DA YA THINK I'M SEXY,1
09/12/78,MARY'S BOY CHILD - OH MY LORD,4
06/01/79,Y.M.C.A.,3
27/01/79,HIT ME WITH YOUR RHYTHM STICK,1
03/02/79,HEART OF GLASS,4
03/03/79,TRAGEDY,2
17/03/79,I WILL SURVIVE,4
14/04/79,BRIGHT EYES,6
26/05/79,SUNDAY GIRL,3
16/06/79,RING MY BELL,2
30/06/79,ARE 'FRIENDS' ELECTRIC?,4
28/07/79,I DON'T LIKE MONDAYS,4
25/08/79,WE DON'T TALK ANYMORE,4
22/09/79,CARS,1
29/09/79,MESSAGE IN A BOTTLE,3
20/10/79,VIDEO KILLED THE RADIO STAR,1
27/10/79,ONE DAY AT A TIME,3
17/11/79,WHEN YOU'RE IN LOVE WITH A BEAUTIFUL WOMAN,3
